arrival_time,dis,vehicle_id
2019/1/1 21:14,18.3731,154688293503_1
2019/1/1 21:18,19.80024,154688293503_1
2019/1/1 21:22,21.12827,154688293503_1
2019/1/1 9:32,0,360000948256_1
2019/1/1 9:35,1.32358,360000948256_1
2019/1/1 9:37,2.23103,360000948256_1
2019/1/1 9:40,2.83657,360000948256_1
2019/1/1 9:42,3.50861,360000948256_1
2019/1/1 9:45,4.18638,360000948256_1
2019/1/1 9:48,4.91402,360000948256_1
2019/1/1 9:50,5.72472,360000948256_1
2019/1/1 9:55,6.64341,360000948256_1
2019/1/1 9:56,7.05932,360000948256_1
2019/1/1 10:00,7.92201,360000948256_1
2019/1/1 10:03,9.30669,360000948256_1
2019/1/1 10:07,10.32271,360000948256_1
2019/1/1 10:12,11.79302,360000948256_1
2019/1/1 10:13,12.20109,360000948256_1
2019/1/1 10:15,12.95712,360000948256_1
2019/1/1 10:16,13.65437,360000948256_1
2019/1/1 10:19,14.32924,360000948256_1
2019/1/1 10:20,15.07501,360000948256_1
2019/1/1 10:25,16.71311,360000948256_1
2019/1/1 10:30,18.3731,360000948256_1
2019/1/1 10:35,19.80024,360000948256_1
2019/1/1 10:39,21.12827,360000948256_1
2019/1/1 13:40,0,360000948256_3
2019/1/1 13:43,1.32358,360000948256_3
2019/1/1 13:47,2.23103,360000948256_3
2019/1/1 13:53,2.83657,360000948256_3
2019/1/1 13:55,3.50861,360000948256_3
2019/1/1 13:57,4.18638,360000948256_3
2019/1/1 14:01,4.91402,360000948256_3
2019/1/1 14:04,5.72472,360000948256_3
2019/1/1 14:07,6.64341,360000948256_3
2019/1/1 14:09,7.05932,360000948256_3
2019/1/1 14:11,7.92201,360000948256_3
2019/1/1 14:15,9.30669,360000948256_3
2019/1/1 14:19,10.32271,360000948256_3
2019/1/1 14:25,11.79302,360000948256_3
2019/1/1 14:27,12.20109,360000948256_3
2019/1/1 14:29,12.95712,360000948256_3
2019/1/1 14:35,13.65437,360000948256_3
2019/1/1 14:45,14.32924,360000948256_3
2019/1/1 14:47,15.07501,360000948256_3
2019/1/1 14:53,16.71311,360000948256_3
2019/1/1 14:58,18.3731,360000948256_3
2019/1/1 15:05,19.80024,360000948256_3
2019/1/1 15:09,21.12827,360000948256_3
2019/1/1 17:53,0,360000948256_5
2019/1/1 17:57,1.32358,360000948256_5
2019/1/1 18:02,2.23103,360000948256_5
2019/1/1 18:03,2.83657,360000948256_5
2019/1/1 18:05,3.50861,360000948256_5
2019/1/1 18:07,4.18638,360000948256_5
2019/1/1 18:10,4.91402,360000948256_5
2019/1/1 18:12,5.72472,360000948256_5
2019/1/1 18:17,6.64341,360000948256_5
2019/1/1 18:18,7.05932,360000948256_5
2019/1/1 18:21,7.92201,360000948256_5
2019/1/1 18:23,9.30669,360000948256_5
2019/1/1 18:26,10.32271,360000948256_5
2019/1/1 18:30,11.79302,360000948256_5
2019/1/1 18:32,12.20109,360000948256_5
2019/1/1 18:34,12.95712,360000948256_5
2019/1/1 18:39,13.65437,360000948256_5
2019/1/1 18:41,14.32924,360000948256_5
2019/1/1 18:43,15.07501,360000948256_5
2019/1/1 18:50,16.71311,360000948256_5
2019/1/1 18:57,18.3731,360000948256_5
2019/1/1 18:59,19.80024,360000948256_5
2019/1/1 19:03,21.12827,360000948256_5
2019/1/1 20:43,0,360000948256_7
2019/1/1 20:45,1.32358,360000948256_7
2019/1/1 20:48,2.23103,360000948256_7
2019/1/1 20:51,2.83657,360000948256_7
2019/1/1 20:53,3.50861,360000948256_7
2019/1/1 20:55,4.18638,360000948256_7
2019/1/1 20:58,4.91402,360000948256_7
2019/1/1 21:02,5.72472,360000948256_7
2019/1/1 21:07,6.64341,360000948256_7
2019/1/1 21:08,7.05932,360000948256_7
2019/1/1 21:11,7.92201,360000948256_7
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2019/1/1 22:24,0,360000948256_9
2019/1/1 22:27,1.32358,360000948256_9
2019/1/1 22:30,2.23103,360000948256_9
2019/1/1 22:33,2.83657,360000948256_9
2019/1/1 22:35,3.50861,360000948256_9
2019/1/1 22:37,4.18638,360000948256_9
2019/1/1 22:39,4.91402,360000948256_9
2019/1/1 22:41,5.72472,360000948256_9
2019/1/1 22:46,6.64341,360000948256_9
2019/1/1 22:47,7.05932,360000948256_9
2019/1/1 22:50,7.92201,360000948256_9
2019/1/1 22:52,9.30669,360000948256_9
2019/1/1 22:55,10.32271,360000948256_9
2019/1/1 22:59,11.79302,360000948256_9
2019/1/1 23:00,12.20109,360000948256_9
2019/1/1 23:02,12.95712,360000948256_9
2019/1/1 23:04,13.65437,360000948256_9
2019/1/1 23:06,14.32924,360000948256_9
2019/1/1 23:08,15.07501,360000948256_9
2019/1/1 23:13,16.71311,360000948256_9
2019/1/1 23:18,18.3731,360000948256_9
2019/1/1 23:23,19.80024,360000948256_9
2019/1/1 23:27,21.12827,360000948256_9
2019/1/1 6:56,0,198888293503_0
2019/1/1 7:00,1.32358,198888293503_0
2019/1/1 7:05,2.23103,198888293503_0
2019/1/1 7:09,2.83657,198888293503_0
2019/1/1 7:11,3.50861,198888293503_0
2019/1/1 7:13,4.18638,198888293503_0
2019/1/1 7:16,4.91402,198888293503_0
2019/1/1 7:20,5.72472,198888293503_0
2019/1/1 7:22,6.64341,198888293503_0
2019/1/1 7:24,7.05932,198888293503_0
2019/1/1 7:26,7.92201,198888293503_0
2019/1/1 7:28,9.30669,198888293503_0
2019/1/1 7:33,10.32271,198888293503_0
2019/1/1 7:37,11.79302,198888293503_0
2019/1/1 7:37,12.20109,198888293503_0
2019/1/1 7:39,12.95712,198888293503_0
2019/1/1 7:40,13.65437,198888293503_0
2019/1/1 7:42,14.32924,198888293503_0
2019/1/1 7:43,15.07501,198888293503_0
2019/1/1 7:46,16.71311,198888293503_0
2019/1/1 7:49,18.3731,198888293503_0
2019/1/1 7:53,19.80024,198888293503_0
2019/1/1 7:57,21.12827,198888293503_0
2019/1/1 10:00,0,198888293503_2
2019/1/1 10:04,1.32358,198888293503_2
2019/1/1 10:06,2.23103,198888293503_2
2019/1/1 10:10,2.83657,198888293503_2
2019/1/1 10:13,3.50861,198888293503_2
2019/1/1 10:15,4.18638,198888293503_2
2019/1/1 10:19,4.91402,198888293503_2
2019/1/1 10:22,5.72472,198888293503_2
2019/1/1 10:27,6.64341,198888293503_2
2019/1/1 10:28,7.05932,198888293503_2
2019/1/1 10:31,7.92201,198888293503_2
2019/1/1 10:33,9.30669,198888293503_2
2019/1/1 10:38,10.32271,198888293503_2
2019/1/1 10:43,11.79302,198888293503_2
2019/1/1 10:44,12.20109,198888293503_2
2019/1/1 10:46,12.95712,198888293503_2
2019/1/1 10:48,13.65437,198888293503_2
2019/1/1 10:54,14.32924,198888293503_2
2019/1/1 10:56,15.07501,198888293503_2
2019/1/1 11:03,16.71311,198888293503_2
2019/1/1 11:09,18.3731,198888293503_2
2019/1/1 11:12,19.80024,198888293503_2
2019/1/1 11:16,21.12827,198888293503_2
2019/1/1 14:11,0,198888293503_4
2019/1/1 14:14,1.32358,198888293503_4
2019/1/1 14:18,2.23103,198888293503_4
2019/1/1 14:21,2.83657,198888293503_4
2019/1/1 14:23,3.50861,198888293503_4
2019/1/1 14:25,4.18638,198888293503_4
2019/1/1 14:27,4.91402,198888293503_4
2019/1/1 14:29,5.72472,198888293503_4
2019/1/1 14:32,6.64341,198888293503_4
2019/1/1 14:33,7.05932,198888293503_4
2019/1/1 14:35,7.92201,198888293503_4
2019/1/1 14:37,9.30669,198888293503_4
2019/1/1 14:42,10.32271,198888293503_4
2019/1/1 14:45,11.79302,198888293503_4
2019/1/1 14:47,12.20109,198888293503_4
2019/1/1 14:48,12.95712,198888293503_4
2019/1/1 14:59,13.65437,198888293503_4
2019/1/1 15:13,14.32924,198888293503_4
2019/1/1 15:16,15.07501,198888293503_4
2019/1/1 15:22,16.71311,198888293503_4
2019/1/1 15:25,18.3731,198888293503_4
2019/1/1 15:30,19.80024,198888293503_4
2019/1/1 15:33,21.12827,198888293503_4
2019/1/1 18:11,0,198888293503_6
2019/1/1 18:14,1.32358,198888293503_6
2019/1/1 18:17,2.23103,198888293503_6
2019/1/1 18:19,2.83657,198888293503_6
2019/1/1 18:21,3.50861,198888293503_6
2019/1/1 18:23,4.18638,198888293503_6
2019/1/1 18:26,4.91402,198888293503_6
2019/1/1 18:28,5.72472,198888293503_6
2019/1/1 18:31,6.64341,198888293503_6
2019/1/1 18:32,7.05932,198888293503_6
2019/1/1 18:34,7.92201,198888293503_6
2019/1/1 18:38,9.30669,198888293503_6
2019/1/1 18:42,10.32271,198888293503_6
2019/1/1 18:48,11.79302,198888293503_6
2019/1/1 18:49,12.20109,198888293503_6
2019/1/1 18:50,12.95712,198888293503_6
2019/1/1 18:53,13.65437,198888293503_6
2019/1/1 18:55,14.32924,198888293503_6
2019/1/1 18:57,15.07501,198888293503_6
2019/1/1 19:03,16.71311,198888293503_6
2019/1/1 19:09,18.3731,198888293503_6
2019/1/1 19:14,19.80024,198888293503_6
2019/1/1 19:18,21.12827,198888293503_6
2019/1/1 5:55,0,162910104601_1
2019/1/1 5:58,1.32358,162910104601_1
2019/1/1 6:01,2.23103,162910104601_1
2019/1/1 6:02,2.83657,162910104601_1
2019/1/1 6:04,3.50861,162910104601_1
2019/1/1 6:05,4.18638,162910104601_1
2019/1/1 6:07,4.91402,162910104601_1
2019/1/1 6:08,5.72472,162910104601_1
2019/1/1 6:12,6.64341,162910104601_1
2019/1/1 6:13,7.05932,162910104601_1
2019/1/1 6:16,7.92201,162910104601_1
2019/1/1 6:20,9.30669,162910104601_1
2019/1/1 6:22,10.32271,162910104601_1
2019/1/1 6:26,11.79302,162910104601_1
2019/1/1 6:27,12.20109,162910104601_1
2019/1/1 6:28,12.95712,162910104601_1
2019/1/1 6:31,13.65437,162910104601_1
2019/1/1 6:33,14.32924,162910104601_1
2019/1/1 6:34,15.07501,162910104601_1
2019/1/1 6:40,16.71311,162910104601_1
2019/1/1 6:45,18.3731,162910104601_1
2019/1/1 6:48,19.80024,162910104601_1
2019/1/1 6:52,21.12827,162910104601_1
2019/1/1 9:13,0,162910104601_3
2019/1/1 9:16,1.32358,162910104601_3
2019/1/1 9:19,2.23103,162910104601_3
2019/1/1 9:24,2.83657,162910104601_3
2019/1/1 9:25,3.50861,162910104601_3
2019/1/1 9:28,4.18638,162910104601_3
2019/1/1 9:30,4.91402,162910104601_3
2019/1/1 9:33,5.72472,162910104601_3
2019/1/1 9:35,6.64341,162910104601_3
2019/1/1 9:36,7.05932,162910104601_3
2019/1/1 9:40,7.92201,162910104601_3
2019/1/1 9:42,9.30669,162910104601_3
2019/1/1 9:45,10.32271,162910104601_3
2019/1/1 9:49,11.79302,162910104601_3
2019/1/1 9:51,12.20109,162910104601_3
2019/1/1 9:53,12.95712,162910104601_3
2019/1/1 9:55,13.65437,162910104601_3
2019/1/1 9:57,14.32924,162910104601_3
2019/1/1 9:59,15.07501,162910104601_3
2019/1/1 10:05,16.71311,162910104601_3
2019/1/1 10:11,18.3731,162910104601_3
2019/1/1 10:15,19.80024,162910104601_3
2019/1/1 10:19,21.12827,162910104601_3
2019/1/1 13:47,0,162910104601_5
2019/1/1 13:50,1.32358,162910104601_5
2019/1/1 13:52,2.23103,162910104601_5
2019/1/1 13:57,2.83657,162910104601_5
2019/1/1 13:58,3.50861,162910104601_5
2019/1/1 14:01,4.18638,162910104601_5
2019/1/1 14:03,4.91402,162910104601_5
2019/1/1 14:07,5.72472,162910104601_5
2019/1/1 14:10,6.64341,162910104601_5
2019/1/1 14:11,7.05932,162910104601_5
2019/1/1 14:14,7.92201,162910104601_5
2019/1/1 14:18,9.30669,162910104601_5
2019/1/1 14:22,10.32271,162910104601_5
2019/1/1 14:26,11.79302,162910104601_5
2019/1/1 14:28,12.20109,162910104601_5
2019/1/1 14:30,12.95712,162910104601_5
2019/1/1 14:37,13.65437,162910104601_5
2019/1/1 14:52,14.32924,162910104601_5
2019/1/1 14:54,15.07501,162910104601_5
